,블록명,중량,표준공기,납기,사이즈,최대길이,면적,최소착수요구일,날짜순서,공기순서,크기순서,우선순위,정반명,착수일자,상태정보,종료일자,차트텍스트
0,S15,139,10,2023-11-13,"(15, 14)",15,210,2023-11-03,4.0,42.0,40.0,5.5,A,2023-10-27,정상배치완료,2023-11-06,S15/납기:2023-11-13/최소착수요구일:2023-11-03/착수일자:2023-10-27/종료일자:2023-11-06
1,S24,56,12,2023-11-21,"(18, 14)",18,252,2023-11-09,9.5,22.0,29.0,5.6,B,2023-11-02,정상배치완료,2023-11-14,S24/납기:2023-11-21/최소착수요구일:2023-11-09/착수일자:2023-11-02/종료일자:2023-11-14
2,S33,33,13,2023-11-27,"(19, 15)",19,285,2023-11-14,14.5,12.5,6.0,5.9,B,2023-11-07,정상배치완료,2023-11-20,S33/납기:2023-11-27/최소착수요구일:2023-11-14/착수일자:2023-11-07/종료일자:2023-11-20
3,S19,21,12,2023-11-15,"(14, 7)",14,98,2023-11-03,4.0,22.0,102.5,6.2,B,2023-10-27,정상배치완료,2023-11-08,S19/납기:2023-11-15/최소착수요구일:2023-11-03/착수일자:2023-10-27/종료일자:2023-11-08
4,S16,24,11,2023-11-14,"(14, 5)",14,70,2023-11-03,4.0,33.0,112.5,7.3,B,2023-10-27,정상배치완료,2023-11-07,S16/납기:2023-11-14/최소착수요구일:2023-11-03/착수일자:2023-10-27/종료일자:2023-11-07
5,S25,98,11,2023-11-21,"(19, 13)",19,247,2023-11-10,12.0,33.0,36.0,7.4,A,2023-11-03,정상배치완료,2023-11-14,S25/납기:2023-11-21/최소착수요구일:2023-11-10/착수일자:2023-11-03/종료일자:2023-11-14
6,S21,82,8,2023-11-17,"(17, 15)",17,255,2023-11-09,9.5,69.0,15.5,8.3,,,최선조기착수 후보날짜가 없음,,S21/납기:2023-11-17/최소착수요구일:2023-11-09/착수일자:nan/종료일자:None
7,S17,68,8,2023-11-14,"(15, 13)",15,195,2023-11-06,6.5,69.0,58.0,8.7,,,최선조기착수 후보날짜가 없음,,S17/납기:2023-11-14/최소착수요구일:2023-11-06/착수일자:nan/종료일자:None
8,S32,84,10,2023-11-27,"(17, 15)",17,255,2023-11-17,17.0,42.0,15.5,9.0,A,2023-11-10,정상배치완료,2023-11-20,S32/납기:2023-11-27/최소착수요구일:2023-11-17/착수일자:2023-11-10/종료일자:2023-11-20
9,S18,21,9,2023-11-15,"(14, 7)",14,98,2023-11-06,6.5,52.0,102.5,9.0,B,2023-10-30,정상배치완료,2023-11-08,S18/납기:2023-11-15/최소착수요구일:2023-11-06/착수일자:2023-10-30/종료일자:2023-11-08
10,S14,67,7,2023-11-09,"(13, 13)",13,169,2023-11-02,1.5,93.5,71.0,9.1,B,2023-10-26,정상배치완료,2023-11-02,S14/납기:2023-11-09/최소착수요구일:2023-11-02/착수일자:2023-10-26/종료일자:2023-11-02
11,S13,131,6,2023-11-08,"(15, 14)",15,210,2023-11-02,1.5,109.5,40.0,9.1,,,최선조기착수 후보날짜가 없음,,S13/납기:2023-11-08/최소착수요구일:2023-11-02/착수일자:nan/종료일자:None
12,S20,76,8,2023-11-15,"(14, 13)",14,182,2023-11-07,8.0,69.0,67.0,9.5,,,최선조기착수 후보날짜가 없음,,S20/납기:2023-11-15/최소착수요구일:2023-11-07/착수일자:nan/종료일자:None
13,S22,41,11,2023-11-21,"(17, 5)",17,85,2023-11-10,12.0,33.0,107.5,9.8,A,2023-11-03,정상배치완료,2023-11-14,S22/납기:2023-11-21/최소착수요구일:2023-11-10/착수일자:2023-11-03/종료일자:2023-11-14
14,S23,20,11,2023-11-21,"(17, 5)",17,85,2023-11-10,12.0,33.0,107.5,9.8,A,2023-11-03,정상배치완료,2023-11-14,S23/납기:2023-11-21/최소착수요구일:2023-11-10/착수일자:2023-11-03/종료일자:2023-11-14
15,S26,42,9,2023-11-23,"(12, 11)",12,132,2023-11-14,14.5,52.0,82.5,11.0,A,2023-11-14,정상배치완료,2023-11-23,S26/납기:2023-11-23/최소착수요구일:2023-11-14/착수일자:2023-11-14/종료일자:2023-11-23
16,S36,79,9,2023-12-01,"(17, 15)",17,255,2023-11-22,21.5,52.0,15.5,11.1,B,2023-11-16,정상배치완료,2023-11-25,S36/납기:2023-12-01/최소착수요구일:2023-11-22/착수일자:2023-11-16/종료일자:2023-11-25
17,S27,106,8,2023-11-23,"(19, 13)",19,247,2023-11-15,16.0,69.0,36.0,11.1,A,2023-11-14,정상배치완료,2023-11-22,S27/납기:2023-11-23/최소착수요구일:2023-11-15/착수일자:2023-11-14/종료일자:2023-11-22
18,S35,67,7,2023-11-29,"(17, 15)",17,255,2023-11-22,21.5,93.5,15.5,13.9,B,2023-11-20,정상배치완료,2023-11-27,S35/납기:2023-11-29/최소착수요구일:2023-11-22/착수일자:2023-11-20/종료일자:2023-11-27
19,S45,93,11,2023-12-12,"(15, 13)",15,195,2023-12-01,30.0,33.0,58.0,14.1,A,2023-11-25,정상배치완료,2023-12-06,S45/납기:2023-12-12/최소착수요구일:2023-12-01/착수일자:2023-11-25/종료일자:2023-12-06
20,S49,56,12,2023-12-19,"(18, 14)",18,252,2023-12-07,35.5,22.0,29.0,14.3,B,2023-11-30,정상배치완료,2023-12-12,S49/납기:2023-12-19/최소착수요구일:2023-12-07/착수일자:2023-11-30/종료일자:2023-12-12
21,S41,101,9,2023-12-08,"(14, 14)",14,196,2023-11-29,29.0,52.0,51.5,14.8,B,2023-11-25,정상배치완료,2023-12-04,S41/납기:2023-12-08/최소착수요구일:2023-11-29/착수일자:2023-11-25/종료일자:2023-12-04
22,S34,39,7,2023-11-27,"(12, 11)",12,132,2023-11-20,18.0,93.5,82.5,15.0,A,2023-11-14,정상배치완료,2023-11-21,S34/납기:2023-11-27/최소착수요구일:2023-11-20/착수일자:2023-11-14/종료일자:2023-11-21
23,S39,85,8,2023-12-06,"(14, 14)",14,196,2023-11-28,27.0,69.0,51.5,15.3,A,2023-11-22,정상배치완료,2023-11-30,S39/납기:2023-12-06/최소착수요구일:2023-11-28/착수일자:2023-11-22/종료일자:2023-11-30
