,블록명,중량,표준공기,납기,사이즈,최대길이,면적,최소착수요구일,날짜순서,공기순서,크기순서,우선순위,배치결과,착수일자,델타
6,S19,21,12,2023-11-15,"(14, 7)",14,98,2023-11-03,4.0,22.0,102.5,13.8,정상배치,2023-10-27,-7 days
2,S15,139,10,2023-11-13,"(15, 14)",15,210,2023-11-03,4.0,42.0,40.0,15.0,정상배치,2023-10-27,-7 days
3,S16,24,11,2023-11-14,"(14, 5)",14,70,2023-11-03,4.0,33.0,112.5,15.9,정상배치,2023-10-27,-7 days
1,S14,67,7,2023-11-09,"(13, 13)",13,169,2023-11-02,1.5,93.5,71.0,20.4,정상배치,2023-10-26,-7 days
11,S24,56,12,2023-11-21,"(18, 14)",18,252,2023-11-09,9.5,22.0,29.0,20.5,정상배치,2023-11-02,-7 days
0,S13,131,6,2023-11-08,"(15, 14)",15,210,2023-11-02,1.5,109.5,40.0,22.1,정상배치,2023-11-02,0 days
5,S18,21,9,2023-11-15,"(14, 7)",14,98,2023-11-06,6.5,52.0,102.5,22.9,정상배치,2023-10-30,-7 days
4,S17,68,8,2023-11-14,"(15, 13)",15,195,2023-11-06,6.5,69.0,58.0,24.3,정상배치,2023-11-03,-3 days
20,S33,33,13,2023-11-27,"(19, 15)",19,285,2023-11-14,14.5,12.5,6.0,26.4,정상배치,2023-11-09,-5 days
12,S25,98,11,2023-11-21,"(19, 13)",19,247,2023-11-10,12.0,33.0,36.0,26.7,정상배치,2023-11-03,-7 days
7,S20,76,8,2023-11-15,"(14, 13)",14,182,2023-11-07,8.0,69.0,67.0,27.1,정상배치,2023-11-06,-1 days
8,S21,82,8,2023-11-17,"(17, 15)",17,255,2023-11-09,9.5,69.0,15.5,27.8,정상배치,2023-11-14,5 days
9,S22,41,11,2023-11-21,"(17, 5)",17,85,2023-11-10,12.0,33.0,107.5,29.1,정상배치,2023-11-03,-7 days
10,S23,20,11,2023-11-21,"(17, 5)",17,85,2023-11-10,12.0,33.0,107.5,29.1,정상배치,2023-11-03,-7 days
13,S26,42,9,2023-11-23,"(12, 11)",12,132,2023-11-14,14.5,52.0,82.5,35.6,정상배치,2023-11-14,0 days
19,S32,84,10,2023-11-27,"(17, 15)",17,255,2023-11-17,17.0,42.0,15.5,35.8,정상배치,2023-11-14,-3 days
14,S27,106,8,2023-11-23,"(19, 13)",19,247,2023-11-15,16.0,69.0,36.0,39.4,정상배치,2023-11-14,-1 days
23,S36,79,9,2023-12-01,"(17, 15)",17,255,2023-11-22,21.5,52.0,15.5,45.0,정상배치,2023-11-23,1 days
21,S34,39,7,2023-11-27,"(12, 11)",12,132,2023-11-20,18.0,93.5,82.5,48.3,정상배치,2023-11-14,-6 days
22,S35,67,7,2023-11-29,"(17, 15)",17,255,2023-11-22,21.5,93.5,15.5,51.9,정상배치,2023-11-22,0 days
27,S40,53,9,2023-12-07,"(15, 7)",15,105,2023-11-28,27.0,52.0,98.5,57.0,정상배치,2023-11-21,-7 days
32,S45,93,11,2023-12-12,"(15, 13)",15,195,2023-12-01,30.0,33.0,58.0,57.4,정상배치,2023-11-24,-7 days
26,S39,85,8,2023-12-06,"(14, 14)",14,196,2023-11-28,27.0,69.0,51.5,58.2,정상배치,2023-11-21,-7 days
17,S30,10,5,2023-11-27,"(14, 4)",14,56,2023-11-22,21.5,113.5,115.5,58.6,정상배치,2023-11-15,-7 days
15,S28,10,5,2023-11-27,"(14, 4)",14,56,2023-11-22,21.5,113.5,115.5,58.6,정상배치,2023-11-15,-7 days
28,S41,101,9,2023-12-08,"(14, 14)",14,196,2023-11-29,29.0,52.0,51.5,58.7,정상배치,2023-11-22,-7 days
18,S31,9,5,2023-11-27,"(6, 4)",6,24,2023-11-22,21.5,113.5,119.5,58.7,정상배치,2023-11-15,-7 days
16,S29,9,5,2023-11-27,"(6, 4)",6,24,2023-11-22,21.5,113.5,119.5,58.7,정상배치,2023-11-15,-7 days
25,S38,53,7,2023-12-04,"(15, 7)",15,105,2023-11-27,25.0,93.5,98.5,60.5,정상배치,2023-11-20,-7 days
33,S46,38,12,2023-12-18,"(15, 8)",15,120,2023-12-06,34.0,22.0,87.5,63.2,정상배치,2023-11-29,-7 days
36,S49,56,12,2023-12-19,"(18, 14)",18,252,2023-12-07,35.5,22.0,29.0,63.8,정상배치,2023-11-30,-7 days
24,S37,37,6,2023-12-04,"(14, 9)",14,126,2023-11-28,27.0,109.5,84.0,66.0,정상배치,2023-11-22,-6 days
34,S47,38,11,2023-12-18,"(15, 8)",15,120,2023-12-07,35.5,33.0,87.5,67.6,정상배치,2023-11-30,-7 days
31,S44,20,8,2023-12-12,"(17, 5)",17,85,2023-12-04,32.0,69.0,107.5,68.4,정상배치,2023-11-27,-7 days
30,S43,41,8,2023-12-12,"(17, 5)",17,85,2023-12-04,32.0,69.0,107.5,68.4,정상배치,2023-11-27,-7 days
39,S52,56,9,2023-12-20,"(18, 14)",18,252,2023-12-11,38.5,52.0,29.0,73.8,정상배치,2023-12-05,-6 days
29,S42,57,4,2023-12-08,"(14, 12)",14,168,2023-12-04,32.0,117.5,75.0,75.4,정상배치,2023-11-27,-7 days
37,S50,79,8,2023-12-19,"(17, 15)",17,255,2023-12-11,38.5,69.0,15.5,76.2,정상배치,2023-12-04,-7 days
38,S51,67,8,2023-12-19,"(17, 15)",17,255,2023-12-11,38.5,69.0,15.5,76.2,정상배치,2023-12-12,1 days
44,S57,67,12,2023-12-25,"(13, 13)",13,169,2023-12-13,42.5,22.0,71.0,76.9,정상배치,2023-12-06,-7 days
35,S48,63,7,2023-12-18,"(14, 8)",14,112,2023-12-11,38.5,93.5,94.0,82.9,정상배치,2023-12-04,-7 days
51,S64,38,15,2024-01-03,"(15, 8)",15,120,2023-12-19,48.0,6.0,87.5,83.9,정상배치,2023-12-12,-7 days
50,S63,38,15,2024-01-03,"(15, 8)",15,120,2023-12-19,48.0,6.0,87.5,83.9,정상배치,2023-12-12,-7 days
42,S55,66,8,2023-12-21,"(13, 13)",13,169,2023-12-13,42.5,69.0,71.0,84.7,정상배치,2023-12-06,-7 days
46,S59,53,10,2023-12-28,"(15, 7)",15,105,2023-12-18,45.5,42.0,98.5,86.1,정상배치,2023-12-11,-7 days
49,S62,56,13,2024-01-02,"(18, 14)",18,252,2023-12-20,50.0,12.5,29.0,86.4,정상배치,2023-12-13,-7 days
54,S67,56,15,2024-01-05,"(18, 14)",18,252,2023-12-21,51.0,6.0,29.0,87.0,정상배치,2023-12-21,0 days
40,S53,10,7,2023-12-20,"(14, 4)",14,56,2023-12-13,42.5,93.5,115.5,90.3,정상배치,2023-12-06,-7 days
41,S54,10,7,2023-12-20,"(14, 4)",14,56,2023-12-13,42.5,93.5,115.5,90.3,정상배치,2023-12-06,-7 days
43,S56,82,7,2023-12-25,"(17, 15)",17,255,2023-12-18,45.5,93.5,15.5,91.9,정상배치,2023-12-14,-4 days
45,S58,84,8,2023-12-27,"(17, 15)",17,255,2023-12-19,48.0,69.0,15.5,92.0,정상배치,2023-12-20,1 days
52,S65,41,11,2024-01-05,"(17, 5)",17,85,2023-12-25,52.5,33.0,107.5,96.6,정상배치,2023-12-18,-7 days
53,S66,20,11,2024-01-05,"(17, 5)",17,85,2023-12-25,52.5,33.0,107.5,96.6,정상배치,2023-12-18,-7 days
57,S70,85,13,2024-01-09,"(14, 14)",14,196,2023-12-27,57.0,12.5,51.5,98.8,정상배치,2023-12-20,-7 days
55,S68,101,10,2024-01-05,"(14, 14)",14,196,2023-12-26,54.5,42.0,51.5,99.6,정상배치,2023-12-19,-7 days
56,S69,53,10,2024-01-05,"(15, 7)",15,105,2023-12-26,54.5,42.0,98.5,101.1,정상배치,2023-12-26,0 days
58,S71,82,7,2024-01-12,"(17, 15)",17,255,2024-01-05,60.0,93.5,15.5,116.1,정상배치,2023-12-29,-7 days
68,S81,38,12,2024-01-23,"(15, 8)",15,120,2024-01-11,66.5,22.0,87.5,117.4,정상배치,2024-01-04,-7 days
69,S82,38,12,2024-01-23,"(15, 8)",15,120,2024-01-11,66.5,22.0,87.5,117.4,정상배치,2024-01-04,-7 days
