,블록명,사이즈,정반명,표준공기,납기,최소착수요구일,착수일자,상태정보
0,S15,"(15, 14)",B,10,2023-11-13,2023-11-03,2023-10-27,정상배치완료
1,S24,"(18, 14)",B,12,2023-11-21,2023-11-09,2023-11-02,정상배치완료
2,S33,"(19, 15)",B,13,2023-11-27,2023-11-14,2023-11-07,정상배치완료
3,S19,"(14, 7)",A,12,2023-11-15,2023-11-03,2023-10-27,정상배치완료
4,S16,"(14, 5)",A,11,2023-11-14,2023-11-03,2023-10-27,정상배치완료
5,S25,"(19, 13)",A,11,2023-11-21,2023-11-10,2023-11-03,정상배치완료
6,S21,"(17, 15)",A,8,2023-11-17,2023-11-09,2023-11-05,정상배치완료
7,S17,"(15, 13)",,8,2023-11-14,2023-11-06,,최선조기착수 후보날짜가 없음
8,S32,"(17, 15)",A,10,2023-11-27,2023-11-17,2023-11-12,정상배치완료
9,S18,"(14, 7)",B,9,2023-11-15,2023-11-06,2023-11-04,정상배치완료
10,S14,"(13, 13)",B,7,2023-11-09,2023-11-02,2023-10-26,정상배치완료
11,S13,"(15, 14)",,6,2023-11-08,2023-11-02,,최선조기착수 후보날짜가 없음
12,S20,"(14, 13)",A,8,2023-11-15,2023-11-07,2023-11-07,정상배치완료
13,S22,"(17, 5)",A,11,2023-11-21,2023-11-10,2023-11-07,정상배치완료
14,S23,"(17, 5)",A,11,2023-11-21,2023-11-10,2023-11-06,정상배치완료
15,S26,"(12, 11)",B,9,2023-11-23,2023-11-14,2023-11-11,정상배치완료
16,S36,"(17, 15)",A,9,2023-12-01,2023-11-22,2023-11-16,정상배치완료
17,S27,"(19, 13)",B,8,2023-11-23,2023-11-15,2023-11-11,정상배치완료
18,S35,"(17, 15)",A,7,2023-11-29,2023-11-22,2023-11-19,정상배치완료
19,S45,"(15, 13)",B,11,2023-12-12,2023-12-01,2023-11-25,정상배치완료
20,S49,"(18, 14)",B,12,2023-12-19,2023-12-07,2023-11-30,정상배치완료
21,S41,"(14, 14)",A,9,2023-12-08,2023-11-29,2023-11-24,정상배치완료
22,S34,"(12, 11)",B,7,2023-11-27,2023-11-20,2023-11-15,정상배치완료
23,S39,"(14, 14)",A,8,2023-12-06,2023-11-28,2023-11-26,정상배치완료
24,S46,"(15, 8)",A,12,2023-12-18,2023-12-06,2023-11-29,정상배치완료
25,S40,"(15, 7)",B,9,2023-12-07,2023-11-28,2023-11-21,정상배치완료
26,S47,"(15, 8)",A,11,2023-12-18,2023-12-07,2023-12-02,정상배치완료
27,S52,"(18, 14)",A,9,2023-12-20,2023-12-11,2023-12-04,정상배치완료
28,S38,"(15, 7)",A,7,2023-12-04,2023-11-27,2023-11-20,정상배치완료
29,S51,"(17, 15)",B,8,2023-12-19,2023-12-11,2023-12-06,정상배치완료
30,S50,"(17, 15)",B,8,2023-12-19,2023-12-11,2023-12-08,정상배치완료
31,S57,"(13, 13)",B,12,2023-12-25,2023-12-13,2023-12-10,정상배치완료
32,S67,"(18, 14)",A,15,2024-01-05,2023-12-21,2023-12-14,정상배치완료
33,S62,"(18, 14)",A,13,2024-01-02,2023-12-20,2023-12-15,정상배치완료
