,B,A
2023-10-01,[],[]
2023-10-02,[],[]
2023-10-03,[],[]
2023-10-04,[],[]
2023-10-05,[],[]
2023-10-06,[],[]
2023-10-07,[],[]
2023-10-08,[],[]
2023-10-09,[],[]
2023-10-10,[],[]
2023-10-11,[],[]
2023-10-12,[],[]
2023-10-13,[],[]
2023-10-14,[],[]
2023-10-15,[],[]
2023-10-16,[],[]
2023-10-17,[],[]
2023-10-18,[],[]
2023-10-19,[],[]
2023-10-20,[],[]
2023-10-21,[],[]
2023-10-22,[],[]
2023-10-23,[],[]
2023-10-24,[],[]
2023-10-25,[],[]
2023-10-26,['S14'],[]
2023-10-27,"['S19', 'S16', 'S14']",['S15']
2023-10-28,"['S19', 'S16', 'S14']",['S15']
2023-10-29,"['S19', 'S16', 'S14']",['S15']
2023-10-30,"['S19', 'S16', 'S14', 'S18']",['S15']
2023-10-31,"['S19', 'S16', 'S14', 'S18']",['S15']
2023-11-01,"['S19', 'S16', 'S14', 'S18']",['S15']
2023-11-02,"['S19', 'S16', 'S24', 'S18']",['S15']
2023-11-03,"['S19', 'S16', 'S24', 'S13', 'S18', 'S23']","['S15', 'S17', 'S25', 'S22']"
2023-11-04,"['S19', 'S16', 'S24', 'S13', 'S18', 'S23']","['S15', 'S17', 'S25', 'S22']"
2023-11-05,"['S19', 'S16', 'S24', 'S13', 'S18', 'S23']","['S15', 'S17', 'S25', 'S22']"
2023-11-06,"['S19', 'S16', 'S24', 'S13', 'S18', 'S23']","['S17', 'S25', 'S20', 'S22']"
2023-11-07,"['S19', 'S24', 'S13', 'S18', 'S23']","['S17', 'S25', 'S20', 'S22']"
2023-11-08,"['S24', 'S13', 'S23']","['S17', 'S25', 'S20', 'S22']"
2023-11-09,"['S24', 'S33', 'S23']","['S17', 'S25', 'S20', 'S22']"
2023-11-10,"['S24', 'S33', 'S23']","['S17', 'S25', 'S20', 'S22']"
2023-11-11,"['S24', 'S33', 'S23']","['S25', 'S20', 'S22']"
2023-11-12,"['S24', 'S33', 'S23']","['S25', 'S20', 'S22']"
2023-11-13,"['S24', 'S33', 'S23']","['S25', 'S20', 'S22']"
2023-11-14,"['S33', 'S26', 'S32', 'S34']","['S21', 'S27']"
2023-11-15,"['S33', 'S26', 'S32', 'S34', 'S30', 'S31']","['S21', 'S27', 'S28', 'S29']"
2023-11-16,"['S33', 'S26', 'S32', 'S34', 'S30', 'S31']","['S21', 'S27', 'S28', 'S29']"
2023-11-17,"['S33', 'S26', 'S32', 'S34', 'S30', 'S31']","['S21', 'S27', 'S28', 'S29']"
2023-11-18,"['S33', 'S26', 'S32', 'S34', 'S30', 'S31']","['S21', 'S27', 'S28', 'S29']"
2023-11-19,"['S33', 'S26', 'S32', 'S34', 'S30', 'S31']","['S21', 'S27', 'S28', 'S29']"
2023-11-20,"['S33', 'S26', 'S32', 'S34']","['S21', 'S27', 'S38']"
2023-11-21,"['S33', 'S26', 'S32']","['S21', 'S27', 'S40', 'S39', 'S38']"
2023-11-22,"['S26', 'S32', 'S41']","['S35', 'S40', 'S39', 'S38', 'S37']"
2023-11-23,"['S32', 'S36', 'S41']","['S35', 'S40', 'S39', 'S38', 'S37']"
2023-11-24,"['S36', 'S41']","['S35', 'S40', 'S45', 'S39', 'S38', 'S37']"
2023-11-25,"['S36', 'S41']","['S35', 'S40', 'S45', 'S39', 'S38', 'S37']"
2023-11-26,"['S36', 'S41']","['S35', 'S40', 'S45', 'S39', 'S38', 'S37']"
2023-11-27,"['S36', 'S41', 'S44', 'S43', 'S42']","['S35', 'S40', 'S45', 'S39', 'S37']"
2023-11-28,"['S36', 'S41', 'S44', 'S43', 'S42']","['S35', 'S40', 'S45', 'S39']"
2023-11-29,"['S36', 'S41', 'S44', 'S43', 'S42']","['S40', 'S45', 'S46']"
2023-11-30,"['S36', 'S41', 'S47', 'S44', 'S43', 'S42']","['S45', 'S46', 'S49']"
2023-12-01,"['S36', 'S47', 'S44', 'S43']","['S45', 'S46', 'S49']"
2023-12-02,"['S47', 'S44', 'S43']","['S45', 'S46', 'S49']"
2023-12-03,"['S47', 'S44', 'S43']","['S45', 'S46', 'S49']"
