,B,A
2023-10-01,[],[]
2023-10-02,[],[]
2023-10-03,[],[]
2023-10-04,[],[]
2023-10-05,[],[]
2023-10-06,[],[]
2023-10-07,[],[]
2023-10-08,[],[]
2023-10-09,[],[]
2023-10-10,[],[]
2023-10-11,[],[]
2023-10-12,[],[]
2023-10-13,[],[]
2023-10-14,[],[]
2023-10-15,[],[]
2023-10-16,[],[]
2023-10-17,[],[]
2023-10-18,[],[]
2023-10-19,[],[]
2023-10-20,[],[]
2023-10-21,[],[]
2023-10-22,[],[]
2023-10-23,[],[]
2023-10-24,[],[]
2023-10-25,[],[]
2023-10-26,"[(13, 13)]",[]
2023-10-27,"[(14, 7), (14, 5), (13, 13)]","[(15, 14)]"
2023-10-28,"[(14, 7), (14, 5), (13, 13)]","[(15, 14)]"
2023-10-29,"[(14, 7), (14, 5), (13, 13)]","[(15, 14)]"
2023-10-30,"[(14, 7), (14, 5), (13, 13), (14, 7)]","[(15, 14)]"
2023-10-31,"[(14, 7), (14, 5), (13, 13), (14, 7)]","[(15, 14)]"
2023-11-01,"[(14, 7), (14, 5), (13, 13), (14, 7)]","[(15, 14)]"
2023-11-02,"[(14, 7), (14, 5), (18, 14), (14, 7)]","[(15, 14)]"
2023-11-03,"[(14, 7), (14, 5), (18, 14), (15, 14), (14, 7), (17, 5)]","[(15, 14), (15, 13), (19, 13), (17, 5)]"
2023-11-04,"[(14, 7), (14, 5), (18, 14), (15, 14), (14, 7), (17, 5)]","[(15, 14), (15, 13), (19, 13), (17, 5)]"
2023-11-05,"[(14, 7), (14, 5), (18, 14), (15, 14), (14, 7), (17, 5)]","[(15, 14), (15, 13), (19, 13), (17, 5)]"
2023-11-06,"[(14, 7), (14, 5), (18, 14), (15, 14), (14, 7), (17, 5)]","[(15, 13), (19, 13), (14, 13), (17, 5)]"
2023-11-07,"[(14, 7), (18, 14), (15, 14), (14, 7), (17, 5)]","[(15, 13), (19, 13), (14, 13), (17, 5)]"
2023-11-08,"[(18, 14), (15, 14), (17, 5)]","[(15, 13), (19, 13), (14, 13), (17, 5)]"
2023-11-09,"[(18, 14), (19, 15), (17, 5)]","[(15, 13), (19, 13), (14, 13), (17, 5)]"
2023-11-10,"[(18, 14), (19, 15), (17, 5)]","[(15, 13), (19, 13), (14, 13), (17, 5)]"
2023-11-11,"[(18, 14), (19, 15), (17, 5)]","[(19, 13), (14, 13), (17, 5)]"
2023-11-12,"[(18, 14), (19, 15), (17, 5)]","[(19, 13), (14, 13), (17, 5)]"
2023-11-13,"[(18, 14), (19, 15), (17, 5)]","[(19, 13), (14, 13), (17, 5)]"
2023-11-14,"[(19, 15), (12, 11), (17, 15), (12, 11)]","[(17, 15), (19, 13)]"
2023-11-15,"[(19, 15), (12, 11), (17, 15), (12, 11), (14, 4), (6, 4)]","[(17, 15), (19, 13), (14, 4), (6, 4)]"
2023-11-16,"[(19, 15), (12, 11), (17, 15), (12, 11), (14, 4), (6, 4)]","[(17, 15), (19, 13), (14, 4), (6, 4)]"
2023-11-17,"[(19, 15), (12, 11), (17, 15), (12, 11), (14, 4), (6, 4)]","[(17, 15), (19, 13), (14, 4), (6, 4)]"
2023-11-18,"[(19, 15), (12, 11), (17, 15), (12, 11), (14, 4), (6, 4)]","[(17, 15), (19, 13), (14, 4), (6, 4)]"
2023-11-19,"[(19, 15), (12, 11), (17, 15), (12, 11), (14, 4), (6, 4)]","[(17, 15), (19, 13), (14, 4), (6, 4)]"
2023-11-20,"[(19, 15), (12, 11), (17, 15), (12, 11)]","[(17, 15), (19, 13), (15, 7)]"
2023-11-21,"[(19, 15), (12, 11), (17, 15)]","[(17, 15), (19, 13), (15, 7), (14, 14), (15, 7)]"
2023-11-22,"[(12, 11), (17, 15), (14, 14)]","[(17, 15), (15, 7), (14, 14), (15, 7), (14, 9)]"
2023-11-23,"[(17, 15), (17, 15), (14, 14)]","[(17, 15), (15, 7), (14, 14), (15, 7), (14, 9)]"
2023-11-24,"[(17, 15), (14, 14)]","[(17, 15), (15, 7), (15, 13), (14, 14), (15, 7), (14, 9)]"
